codigo,id_categoria,id_subcategoria,Nome,Quantidade,Descricao,Codigo Amarração,image_url,Vlr Bruto,Vlr Unitario
9089,2,1,"PANELA DE PRESSAO FECH EXTERNO POLIDA 3,00 L ",1,"- 3,00 L",,"[https://drive.google.com/file/d/1M0NCNu6kfR89V3oyw3bB4sUI7yKuSulr/view, https://drive.google.com/file/d/14RSu7dd0m9KsGuKS7KJK93ZCQyGLIDaE/view]","134,00","134,00"
4805,2,1,"PANELA DE PRESSAO FECH EXTERNO POLIDA 3,00 L ",6,6 peças,9089,"[https://drive.google.com/file/d/1M0NCNu6kfR89V3oyw3bB4sUI7yKuSulr/view, https://drive.google.com/file/d/14RSu7dd0m9KsGuKS7KJK93ZCQyGLIDaE/view]","706,70","117,78"
4806,2,1,"PANELA DE PRESSAO FECH EXTERNO POLIDA 3,00 L ",12,12 peças,9089,"[https://drive.google.com/file/d/1M0NCNu6kfR89V3oyw3bB4sUI7yKuSulr/view, https://drive.google.com/file/d/14RSu7dd0m9KsGuKS7KJK93ZCQyGLIDaE/view]","1398,83","116,57"
9090,2,1,"PANELA DE PRESSAO FECH EXTERNO POLIDA 4,50 L ",1,"- 4,50 L",,"[https://drive.google.com/file/d/1gArL8aA_-qxVktTz2VE3zFXtFKxSflho/view, https://drive.google.com/file/d/1woozu1D6w5ligS0bujmoksIbszZKfZqQ/view]","149,00","129,98"
4807,2,1,"PANELA DE PRESSAO FECH EXTERNO POLIDA 4,50 L ",6,6 peças,9090,"[https://drive.google.com/file/d/1gArL8aA_-qxVktTz2VE3zFXtFKxSflho/view, https://drive.google.com/file/d/1woozu1D6w5ligS0bujmoksIbszZKfZqQ/view]","783,51","130,58"
4808,2,1,"PANELA DE PRESSAO FECH EXTERNO POLIDA 4,50 L ",12,12 peças,9090,"[https://drive.google.com/file/d/1gArL8aA_-qxVktTz2VE3zFXtFKxSflho/view, https://drive.google.com/file/d/1woozu1D6w5ligS0bujmoksIbszZKfZqQ/view]","1550,86","129,24"
9091,2,1,"PANELA DE PRESSAO FECH EXTERNO ANTIADERENTE FORT FLON 3,00 L ",1,"- 3,00 L",,[https://drive.google.com/file/d/1NakHkLGc4SIg_ZJpMSEXSNf4a8vuXaT0/view],"152,00","133,09"
4809,2,1,"PANELA DE PRESSAO FECH EXTERNO ANTIADERENTE FORT FLON 3,00 L ",6,6 peças,9091,[https://drive.google.com/file/d/1NakHkLGc4SIg_ZJpMSEXSNf4a8vuXaT0/view],"802,23","133,70"
4810,2,1,"PANELA DE PRESSAO FECH EXTERNO ANTIADERENTE FORT FLON 3,00 L ",12,12 peças,9091,[https://drive.google.com/file/d/1NakHkLGc4SIg_ZJpMSEXSNf4a8vuXaT0/view],"1587,92","132,33"
9092,2,1,"PANELA DE PRESSAO FECH EXTERNO ANTIADERENTE FORT FLON 4,50 L ",1,"- 4,50 L",,"[https://drive.google.com/file/d/1NakHkLGc4SIg_ZJpMSEXSNf4a8vuXaT0/view, https://drive.google.com/file/d/1Dvrvx0X1XgvpOT5OdBn8dNDG6G3ZL5ak/view, https://drive.google.com/file/d/1LEXPlq1TmoPZGJ8XTYJazws4Efnn6ahV/view, https://drive.google.com/file/d/1NakHkLGc4SIg_ZJpMSEXSNf4a8vuXaT0/view, https://drive.google.com/file/d/1ABMisMQvb9FE0ob2h7uH_AK3mEnZxmMX/view, https://drive.google.com/file/d/1zcRxW-31YOGmPPFVznRVrBL_mloAwfe4/view, https://drive.google.com/file/d/1AY3Y7PsUbsYukMPMG4w9r1QhqEcIEgO4/view]","172,00","150,95"
4811,2,1,"PANELA DE PRESSAO FECH EXTERNO ANTIADERENTE FORT FLON 4,50 L ",6,6 peças,9092,,"909,93","151,65"
4812,2,1,"PANELA DE PRESSAO FECH EXTERNO ANTIADERENTE FORT FLON 4,50 L ",12,12 peças,9092,,"1801,09","150,09"
9079,2,2,"PANELA DE PRESSAO POLIDA 2,50 L ",1,"- 2,50 L",,,"52,16","52,16"
4601,2,2,"PANELA DE PRESSAO POLIDA 2,50 L ",6,6 peças,9079,,"274,72","45,79"
4602,2,2,"PANELA DE PRESSAO POLIDA 2,50 L ",12,12 peças,9079,,"543,62","45,30"
4633,2,2,"PANELA DE PRESSAO POLIDA 2,50 L ",24,24 peças,9079,,"1081,91","45,08"
9080,2,2,"PANELA DE PRESSAO COLOR 2,50 L - VERMELHA",1,"- 2,50 L",,,"58,40","58,40"
4607,2,2,"PANELA DE PRESSAO COLOR 2,50 L - VERMELHA",6,6 peças,9080,,"306,97","51,16"
4608,2,2,"PANELA DE PRESSAO COLOR 2,50 L - VERMELHA",12,12 peças,9080,,"607,34","50,61"
4645,2,2,"PANELA DE PRESSAO COLOR 2,50 L - VERMELHA",24,24 peças,9080,,"1209,47","50,39"
9081,2,2,"PANELA DE PRESSAO COLOR 2,50 L - PRETA",1,"- 2,50 L",,,"58,40","58,40"
4605,2,2,"PANELA DE PRESSAO COLOR 2,50 L - PRETA",6,6 peças,9081,,"306,97","51,16"
4606,2,2,"PANELA DE PRESSAO COLOR 2,50 L - PRETA",12,12 peças,9081,,"607,34","50,61"
4641,2,2,"PANELA DE PRESSAO COLOR 2,50 L - PRETA",24,24 peças,9081,,"1209,47","50,39"
9082,2,2,"PANELA DE PRESSAO COLOR 2,50 L - CRAQUEADA",1,"- 2,50 L",,,"58,40","58,40"
4603,2,2,"PANELA DE PRESSAO COLOR 2,50 L - CRAQUEADA",6,6 peças,9082,,"306,97","51,16"
4604,2,2,"PANELA DE PRESSAO COLOR 2,50 L - CRAQUEADA",12,12 peças,9082,,"607,34","50,61"
4637,2,2,"PANELA DE PRESSAO COLOR 2,50 L - CRAQUEADA",24,24 peças,9082,,"1209,47","50,39"
9036,2,3,"PANELA DE PRESSAO POLIDA 3,00 L ",1,"- 3,00 L",,,"61,90","61,90"
4557,2,3,"PANELA DE PRESSAO POLIDA 3,00 L ",6,6 peças,9036,,"318,82","53,14"
4558,2,3,"PANELA DE PRESSAO POLIDA 3,00 L ",12,12 peças,9036,,"631,59","52,63"
4559,2,3,"PANELA DE PRESSAO POLIDA 3,00 L ",24,24 peças,9036,,"1247,77","51,99"
9037,2,3,"PANELA DE PRESSAO ANTIADERENTE FORT FLON 3,00 L ",1,"- 3,00 L",,,"98,56","98,56"
4567,2,3,"PANELA DE PRESSAO ANTIADERENTE FORT FLON 3,00 L ",6,6 peças,9037,,"507,34","84,56"
4568,2,3,"PANELA DE PRESSAO ANTIADERENTE FORT FLON 3,00 L ",12,12 peças,9037,,"1010,53","84,21"
9039,2,3,"PANELA DE PRESSAO COLOR 3,00 L - CRAQUEADA ",1,"- 3,00 L",,,"71,16","71,16"
4609,2,3,"PANELA DE PRESSAO COLOR 3,00 L - CRAQUEADA ",6,6 peças,9039,,"354,26","59,04"
4610,2,3,"PANELA DE PRESSAO COLOR 3,00 L - CRAQUEADA ",12,12 peças,9039,,"702,02","58,50"
4649,2,3,"PANELA DE PRESSAO COLOR 3,00 L - CRAQUEADA ",24,24 peças,9039,,"1392,45","58,02"
9070,2,3,"PANELA DE PRESSAO COLOR 3,00 L - PRETA",1,"- 3,00 L",,,"71,16","71,16"
4611,2,3,"PANELA DE PRESSAO COLOR 3,00 L - PRETA",6,6 peças,9070,,"354,26","59,04"
4612,2,3,"PANELA DE PRESSAO COLOR 3,00 L - PRETA",12,12 peças,9070,,"702,02","58,50"
4652,2,3,"PANELA DE PRESSAO COLOR 3,00 L - PRETA",24,24 peças,9070,,"1392,45","58,02"
